判定,優先度,推奨運用,競馬場,芝ダ,距離,該当頭数,複勝圏内数,複勝率%,単勝回収率%,複勝回収率%,コース全体頭数,コース全体複勝率%,平均との差%,リフト,該当ルール数,採用スコア,判定理由
除外,D,現時点では使用しない,札幌,芝,1200,436,89,20.41,50.0,56.42,1959,20.62,-0.21,0.99,2,68.6,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中山,芝,2200,76,21,27.63,95.66,48.82,1387,23.0,4.63,1.201,2,67.6,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,札幌,ダ,1000,134,31,23.13,36.72,55.67,651,25.81,-2.67,0.896,2,66.7,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,新潟,芝,1400,218,41,18.81,92.75,48.85,1848,18.78,0.03,1.002,2,65.9,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,東京,ダ,2100,161,30,18.63,43.54,53.6,3055,20.62,-1.99,0.904,2,64.8,複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,函館,芝,1800,63,16,25.4,67.94,53.49,1229,24.41,0.99,1.04,2,61.7,該当頭数不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,小倉,芝,3390,21,6,28.57,146.19,50.95,209,24.4,4.17,1.171,2,60.9,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,札幌,ダ,1700,45,8,17.78,33.78,44.0,2655,23.05,-5.27,0.771,2,45.5,該当頭数不足・複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中山,ダ,1200,24,3,12.5,230.42,64.58,8125,19.22,-6.72,0.65,1,39.8,該当頭数不足・複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,東京,ダ,1300,39,1,2.56,0.0,6.67,1385,19.28,-16.71,0.133,1,11.4,該当頭数不足・複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,新潟,芝,2850,1,0,0.0,0.0,0.0,9,33.33,-33.33,0.0,1,0.1,該当頭数不足・複勝率不足・リフト不足・複勝回収率不足
